name,size,avg throughput,avg time,stdev time,cv
benchTransformIterator,1073741824,29.5705,4.35735e+08,592854,0.00136058
benchTransformIteratorInnerLoop,1073741824,29.5829,4.35552e+08,2.04606e+06,0.00469762
benchTransformRange,1073741824,29.7851,4.32595e+08,3.06631e+06,0.00708818
benchTransformRangeInnerLoop,1073741824,30.0066,4.29403e+08,5.32941e+06,0.0124112
benchTransformStl,1073741824,29.6401,4.34711e+08,298863,0.000687497
benchTransformSimdStl,1073741824,29.603,4.35257e+08,2.57765e+06,0.00592213
benchXsimdTransform,1073741824,30.3649,4.24336e+08,320306,0.00075484
benchXsimdTransformAligned,1073741824,28.6829,4.4922e+08,4.71658e+06,0.0104995
benchOmpSimdTransformIterator,1073741824,29.6178,4.35039e+08,394099,0.000905893
benchOmpSimdTransformIteratorInnerLoop,1073741824,29.5948,4.35377e+08,2.05785e+06,0.00472659
benchOmpSimdTransformRange,1073741824,30.2025,4.26617e+08,6.31235e+06,0.0147963
benchOmpSimdTransformRangeInnerLoop,1073741824,30.6448,4.20459e+08,5.47194e+06,0.0130142
