name,size,avg throughput,avg time,stdev time,cv
benchTransformIterator,1073741824,18.5364,6.95113e+08,577348,0.000830582
benchTransformIteratorInnerLoop,1073741824,13.2196,9.74681e+08,505777,0.000518916
benchTransformRange,1073741824,18.5414,6.94925e+08,347634,0.000500247
benchTransformRangeInnerLoop,1073741824,9.04535,1.42448e+09,585610,0.000411105
benchTransformStl,1073741824,18.5372,6.95084e+08,454074,0.000653266
benchTransformSimdStl,1073741824,18.5406,6.94958e+08,240142,0.000345549
benchXsimdTransform,1073741824,18.876,6.82608e+08,1.25627e+06,0.0018404
benchXsimdTransformAligned,1073741824,15.9788,8.06373e+08,270056,0.000334903
benchOmpSimdTransformIterator,1073741824,5.40303,2.38476e+09,2.55444e+06,0.00107115
benchOmpSimdTransformIteratorInnerLoop,1073741824,5.26184,2.44874e+09,1.74356e+06,0.00071202
benchOmpSimdTransformRange,1073741824,5.36332,2.40241e+09,1.88823e+06,0.000785974
benchOmpSimdTransformRangeInnerLoop,1073741824,5.24507,2.45657e+09,2.05645e+06,0.000837122
