name,size,avg throughput,avg time,stdev time,cv
reduce_scalar_small,1073741824,161.196,2.66444e+07,499635,0.018752
reduce_scalar,1073741824,159.714,2.68916e+07,1.43854e+06,0.0534939
reduce_complex_prod,1073741824,158.599,5.41613e+07,1.12632e+06,0.0207956
reduce_scalar_norm2,1073741824,154.648,2.77725e+07,4.47909e+06,0.161278
reduce_n1,1073741824,154.649,8.33172e+07,442001,0.00530504
reduce_1m,1073741824,161.005,2.66761e+07,684938,0.0256761
reduce_nm,1073741824,154.197,8.35611e+07,1.53669e+06,0.01839
reduce_21,1073741824,156.617,5.48468e+07,490645,0.00894573
reduce_pi_grid,1073741824,645.282,9.98392e+06,233851,0.0234228
reduce_pi_rand,1073741824,39.8336,1.61734e+08,2.06507e+06,0.0127683
reduce_boundingbox,1073741824,80.7368,5.31971e+07,1.03289e+06,0.0194163
