name,size,avg throughput,avg time,stdev time,cv
reduce_scalar_small,1073741824,159.655,2.69016e+07,735442,0.0273383
reduce_scalar,1073741824,161.092,2.66616e+07,470050,0.0176303
reduce_complex_prod,1073741824,157.83,5.44253e+07,3.08215e+06,0.0566309
reduce_scalar_norm2,1073741824,159.365,2.69505e+07,560980,0.0208152
reduce_n1,1073741824,154.212,8.35533e+07,1.74679e+06,0.0209063
reduce_1m,1073741824,160.299,2.67935e+07,487533,0.0181959
reduce_nm,1073741824,151.01,8.53249e+07,6.6618e+06,0.0780757
reduce_21,1073741824,156.599,5.48532e+07,391677,0.00714047
reduce_pi_grid,1073741824,193.069,3.33686e+07,866332,0.0259625
reduce_pi_rand,1073741824,26.1445,2.46417e+08,2.93618e+06,0.0119155
reduce_boundingbox,1073741824,17.4297,2.46417e+08,2.93618e+06,0.0119155
